PHARMACY VOLUME FLOOR—SP PRESC—RX PARKING SHOPCNTR INCOME
1 22 4,900 9 40 1 18
2 19 5,800 10 50 1 20
3 24 5,000 11 55 1 17
4 28 4,400 12 30 0 19
5 18 3,850 13 42 0 10
6 21 5,300 15 20 1 22
7 29 4,100 20 25 0 8
8 15 4,700 22 60 1 15
9 12 5,600 24 45 1 16
10 14 4,900 27 82 1 14
11 18 3,700 28 56 0 12
12 19 3,800 31 38 0 8
13 15 2,400 36 35 0 6
14 22 1,800 37 28 0 4
15 13 3,100 40 43 0 6
16 16 2,300 41 20 0 5
17 8 4,400 42 46 1 7
18 6 3,300 42 15 0 4
19 7 2,900 45 30 1 9
20 17 2,400 46 16 0 3
